"rules","support","confidence","coverage","lift","count"
"{} => {backbone=yes}",0.818181818181818,0.818181818181818,1,1,81
"{} => {fins=no}",0.828282828282828,0.828282828282828,1,1,82
"{} => {domestic=no}",0.878787878787879,0.878787878787879,1,1,87
"{} => {venomous=no}",0.919191919191919,0.919191919191919,1,1,91
"{predator=yes} => {domestic=no}",0.535353535353535,0.981481481481482,0.545454545454545,1.11685823754789,53
"{hair=no} => {eggs=yes}",0.535353535353535,0.929824561403509,0.575757575757576,1.58711433756806,53
"{eggs=yes} => {hair=no}",0.535353535353535,0.913793103448276,0.585858585858586,1.58711433756806,53
"{hair=no} => {milk=no}",0.555555555555556,0.964912280701754,0.575757575757576,1.61909009812667,55
"{milk=no} => {hair=no}",0.555555555555556,0.932203389830508,0.595959595959596,1.61909009812667,55
"{hair=no} => {domestic=no}",0.535353535353535,0.929824561403509,0.575757575757576,1.05807622504537,53
"{hair=no} => {venomous=no}",0.515151515151515,0.894736842105263,0.575757575757576,0.973395026026605,51
"{eggs=yes} => {milk=no}",0.575757575757576,0.982758620689655,0.585858585858586,1.64903565166569,57
"{milk=no} => {eggs=yes}",0.575757575757576,0.966101694915254,0.595959595959596,1.64903565166569,57
"{eggs=yes} => {domestic=no}",0.535353535353535,0.913793103448276,0.585858585858586,1.03983353151011,53
"{eggs=yes} => {venomous=no}",0.525252525252525,0.896551724137931,0.585858585858586,0.975369458128079,52
"{milk=no} => {domestic=no}",0.545454545454545,0.915254237288136,0.595959595959596,1.04149620105202,54
"{milk=no} => {venomous=no}",0.515151515151515,0.864406779661017,0.595959595959596,0.940398584466381,51
"{toothed=yes} => {airborne=no}",0.575757575757576,0.966101694915254,0.595959595959596,1.27525423728814,57
"{toothed=yes} => {tail=yes}",0.525252525252525,0.88135593220339,0.595959595959596,1.16338983050847,52
"{toothed=yes} => {feathers=no}",0.595959595959596,1,0.595959595959596,1.25316455696203,59
"{toothed=yes} => {backbone=yes}",0.595959595959596,1,0.595959595959596,1.22222222222222,59
"{toothed=yes} => {domestic=no}",0.515151515151515,0.864406779661017,0.595959595959596,0.983635300993571,51
"{toothed=yes} => {venomous=no}",0.555555555555556,0.932203389830508,0.595959595959596,1.01415533618923,55
"{aquatic=no} => {breathes=yes}",0.636363636363636,0.984375,0.646464646464646,1.24939903846154,63
"{breathes=yes} => {aquatic=no}",0.636363636363636,0.807692307692308,0.787878787878788,1.24939903846154,63
"{aquatic=no} => {backbone=yes}",0.525252525252525,0.8125,0.646464646464647,0.993055555555556,52
"{aquatic=no} => {fins=no}",0.646464646464647,1,0.646464646464647,1.20731707317073,64
"{aquatic=no} => {domestic=no}",0.535353535353535,0.828125,0.646464646464647,0.942349137931034,53
"{aquatic=no} => {venomous=no}",0.606060606060606,0.9375,0.646464646464647,1.01991758241758,60
"{airborne=no} => {feathers=no}",0.717171717171717,0.946666666666667,0.757575757575758,1.18632911392405,71
"{feathers=no} => {airborne=no}",0.717171717171717,0.89873417721519,0.797979797979798,1.18632911392405,71
"{airborne=no} => {backbone=yes}",0.636363636363636,0.84,0.757575757575758,1.02666666666667,63
"{airborne=no} => {domestic=no}",0.676767676767677,0.893333333333333,0.757575757575758,1.01655172413793,67
"{airborne=no} => {venomous=no}",0.696969696969697,0.92,0.757575757575758,1.00087912087912,69
"{tail=yes} => {breathes=yes}",0.616161616161616,0.813333333333333,0.757575757575758,1.03230769230769,61
"{tail=yes} => {backbone=yes}",0.747474747474748,0.986666666666667,0.757575757575758,1.20592592592593,74
"{backbone=yes} => {tail=yes}",0.747474747474748,0.91358024691358,0.818181818181818,1.20592592592593,74
"{tail=yes} => {domestic=no}",0.656565656565657,0.866666666666667,0.757575757575758,0.986206896551724,65
"{tail=yes} => {venomous=no}",0.717171717171717,0.946666666666667,0.757575757575758,1.02989010989011,71
"{breathes=yes} => {backbone=yes}",0.676767676767677,0.858974358974359,0.787878787878788,1.04985754985755,67
"{backbone=yes} => {breathes=yes}",0.676767676767677,0.82716049382716,0.818181818181818,1.04985754985755,67
"{breathes=yes} => {fins=no}",0.747474747474748,0.948717948717949,0.787878787878788,1.14540337711069,74
"{fins=no} => {breathes=yes}",0.747474747474748,0.902439024390244,0.828282828282828,1.14540337711069,74
"{breathes=yes} => {domestic=no}",0.676767676767677,0.858974358974359,0.787878787878788,0.977453580901857,67
"{breathes=yes} => {venomous=no}",0.737373737373737,0.935897435897436,0.787878787878788,1.01817413355875,73
"{venomous=no} => {breathes=yes}",0.737373737373737,0.802197802197802,0.919191919191919,1.01817413355875,73
"{feathers=no} => {domestic=no}",0.707070707070707,0.886075949367089,0.797979797979798,1.00829332169358,70
"{domestic=no} => {feathers=no}",0.707070707070707,0.804597701149425,0.878787878787879,1.00829332169358,70
"{feathers=no} => {venomous=no}",0.717171717171717,0.89873417721519,0.797979797979798,0.97774377521213,71
"{backbone=yes} => {domestic=no}",0.707070707070707,0.864197530864197,0.818181818181818,0.983397190293742,70
"{domestic=no} => {backbone=yes}",0.707070707070707,0.804597701149425,0.878787878787879,0.983397190293742,70
"{backbone=yes} => {venomous=no}",0.777777777777778,0.950617283950617,0.818181818181818,1.03418803418803,77
"{venomous=no} => {backbone=yes}",0.777777777777778,0.846153846153846,0.919191919191919,1.03418803418803,77
"{fins=no} => {domestic=no}",0.717171717171717,0.865853658536585,0.828282828282828,0.985281749369218,71
"{domestic=no} => {fins=no}",0.717171717171717,0.816091954022989,0.878787878787879,0.985281749369218,71
"{fins=no} => {venomous=no}",0.757575757575758,0.914634146341463,0.828282828282828,0.995041543822032,75
"{venomous=no} => {fins=no}",0.757575757575758,0.824175824175824,0.919191919191919,0.995041543822031,75
"{domestic=no} => {venomous=no}",0.808080808080808,0.919540229885057,0.878787878787879,1.00037893141341,80
"{venomous=no} => {domestic=no}",0.808080808080808,0.879120879120879,0.919191919191919,1.00037893141341,80
"{hair=no,eggs=yes} => {milk=no}",0.535353535353535,1,0.535353535353535,1.67796610169492,53
"{hair=no,milk=no} => {eggs=yes}",0.535353535353535,0.963636363636364,0.555555555555556,1.6448275862069,53
"{eggs=yes,milk=no} => {hair=no}",0.535353535353535,0.929824561403509,0.575757575757576,1.61495844875346,53
"{hair=no,milk=no} => {domestic=no}",0.515151515151515,0.927272727272727,0.555555555555556,1.0551724137931,51
"{hair=no,domestic=no} => {milk=no}",0.515151515151515,0.962264150943396,0.535353535353535,1.61464662615926,51
"{milk=no,domestic=no} => {hair=no}",0.515151515151515,0.944444444444444,0.545454545454545,1.64035087719298,51
"{eggs=yes,milk=no} => {domestic=no}",0.525252525252525,0.912280701754386,0.575757575757576,1.03811252268603,52
"{eggs=yes,domestic=no} => {milk=no}",0.525252525252525,0.981132075471698,0.535353535353535,1.64630636392709,52
"{milk=no,domestic=no} => {eggs=yes}",0.525252525252525,0.962962962962963,0.545454545454546,1.64367816091954,52
"{eggs=yes,milk=no} => {venomous=no}",0.515151515151515,0.894736842105263,0.575757575757576,0.973395026026605,51
"{eggs=yes,venomous=no} => {milk=no}",0.515151515151515,0.980769230769231,0.525252525252525,1.64569752281617,51
"{milk=no,venomous=no} => {eggs=yes}",0.515151515151515,1,0.515151515151515,1.70689655172414,51
"{airborne=no,toothed=yes} => {tail=yes}",0.505050505050505,0.87719298245614,0.575757575757576,1.15789473684211,50
"{toothed=yes,tail=yes} => {airborne=no}",0.505050505050505,0.961538461538462,0.525252525252525,1.26923076923077,50
"{airborne=no,tail=yes} => {toothed=yes}",0.505050505050505,0.87719298245614,0.575757575757576,1.47190008920607,50
"{airborne=no,toothed=yes} => {feathers=no}",0.575757575757576,1,0.575757575757576,1.25316455696203,57
"{feathers=no,toothed=yes} => {airborne=no}",0.575757575757576,0.966101694915254,0.595959595959596,1.27525423728814,57
"{feathers=no,airborne=no} => {toothed=yes}",0.575757575757576,0.802816901408451,0.717171717171717,1.34709954643113,57
"{airborne=no,toothed=yes} => {backbone=yes}",0.575757575757576,1,0.575757575757576,1.22222222222222,57
"{toothed=yes,backbone=yes} => {airborne=no}",0.575757575757576,0.966101694915254,0.595959595959596,1.27525423728814,57
"{airborne=no,backbone=yes} => {toothed=yes}",0.575757575757576,0.904761904761905,0.636363636363636,1.5181598062954,57
"{airborne=no,toothed=yes} => {venomous=no}",0.535353535353535,0.929824561403509,0.575757575757576,1.01156737998843,53
